"region";"accident_year";"sex_of_casualty";"casualty_class";"count_of_fatalities"
"East Midlands";2018;"Female";"Driver";19
"East Midlands";2018;"Female";"Passenger";13
"East Midlands";2018;"Female";"Pedestrian";8
"East Midlands";2018;"Male";"Driver";52
"East Midlands";2018;"Male";"Passenger";4
"East Midlands";2018;"Male";"Pedestrian";11
"East Midlands";2019;"Female";"Driver";5
"East Midlands";2019;"Female";"Passenger";11
"East Midlands";2019;"Female";"Pedestrian";7
"East Midlands";2019;"Male";"Driver";48
"East Midlands";2019;"Male";"Passenger";9
"East Midlands";2019;"Male";"Pedestrian";14
"East Midlands";2020;"Female";"Driver";18
"East Midlands";2020;"Female";"Passenger";4
"East Midlands";2020;"Female";"Pedestrian";2
"East Midlands";2020;"Male";"Driver";35
"East Midlands";2020;"Male";"Passenger";6
"East Midlands";2020;"Male";"Pedestrian";4
"East of England";2018;"Female";"Driver";10
"East of England";2018;"Female";"Passenger";9
"East of England";2018;"Female";"Pedestrian";3
"East of England";2018;"Male";"Driver";53
"East of England";2018;"Male";"Passenger";8
"East of England";2018;"Male";"Pedestrian";11
"East of England";2019;"Female";"Driver";10
"East of England";2019;"Female";"Passenger";6
"East of England";2019;"Female";"Pedestrian";8
"East of England";2019;"Male";"Driver";60
"East of England";2019;"Male";"Passenger";15
"East of England";2019;"Male";"Pedestrian";16
"East of England";2020;"Female";"Driver";16
"East of England";2020;"Female";"Passenger";7
"East of England";2020;"Female";"Pedestrian";4
"East of England";2020;"Male";"Driver";58
"East of England";2020;"Male";"Passenger";7
"East of England";2020;"Male";"Pedestrian";6
"Greater London";2018;"Female";"Driver";7
"Greater London";2018;"Female";"Pedestrian";20
"Greater London";2018;"Male";"Driver";44
"Greater London";2018;"Male";"Passenger";3
"Greater London";2018;"Male";"Pedestrian";37
"Greater London";2019;"Female";"Driver";2
"Greater London";2019;"Female";"Passenger";4
"Greater London";2019;"Female";"Pedestrian";18
"Greater London";2019;"Male";"Driver";47
"Greater London";2019;"Male";"Passenger";4
"Greater London";2019;"Male";"Pedestrian";49
"Greater London";2020;"Female";"Driver";3
"Greater London";2020;"Female";"Passenger";4
"Greater London";2020;"Female";"Pedestrian";17
"Greater London";2020;"Male";"Driver";40
"Greater London";2020;"Male";"Passenger";4
"Greater London";2020;"Male";"Pedestrian";28
