"year";"hour_of_day";"count_of_collision"
2018;0;1546
2018;1;1048
2018;2;877
2018;3;719
2018;4;677
2018;5;1018
2018;6;2135
2018;7;4822
2018;8;7233
2018;9;4933
2018;10;4593
2018;11;5115
2018;12;5955
2018;13;5901
2018;14;6240
2018;15;7808
2018;16;8154
2018;17;8873
2018;18;7450
2018;19;5401
2018;20;3916
2018;21;3059
2018;22;2759
2018;23;2272
2019;0;1666
2019;1;1170
2019;2;858
2019;3;724
2019;4;697
2019;5;1027
2019;6;2144
2019;7;4762
2019;8;7235
2019;9;4883
2019;10;4575
2019;11;5168
2019;12;5778
2019;13;6035
2019;14;6085
2019;15;7974
2019;16;8230
2019;17;8841
2019;18;7367
2019;19;5435
2019;20;3961
2019;21;3258
2019;22;2966
2019;23;2173
2020;0;1062
2020;1;817
2020;2;584
2020;3;510
2020;4;471
2020;5;759
2020;6;1671
2020;7;3392
2020;8;4778
2020;9;3528
2020;10;3757
2020;11;4335
2020;12;4837
2020;13;5126
2020;14;5564
2020;15;6573
2020;16;6557
2020;17;7059
2020;18;5933
2020;19;4548
2020;20;3340
2020;21;2785
2020;22;2266
2020;23;1617
2021;0;1418
2021;1;1008
2021;2;720
2021;3;591
2021;4;545
2021;5;860
2021;6;1772
2021;7;3702
2021;8;5655
2021;9;4143
2021;10;4054
2021;11;4934
2021;12;5805
2021;13;5882
2021;14;6282
2021;15;7866
2021;16;7925
2021;17;8236
2021;18;6691
2021;19;5243
2021;20;3918
2021;21;3097
2021;22;2647
2021;23;2028
2022;0;1657
2022;1;1173
2022;2;849
2022;3;751
2022;4;672
2022;5;892
2022;6;1859
2022;7;4011
2022;8;6689
2022;9;4383
2022;10;4531
2022;11;5108
2022;12;5866
2022;13;6060
2022;14;6424
2022;15;8117
2022;16;8153
2022;17;8699
2022;18;7051
2022;19;5645
2022;20;4131
2022;21;3233
2022;22;2956
2022;23;2337
